"nlm","nlms"
"object z","object z"
"object z","objects z"
"lipid metabolism","lipids metabolism"
"whale","whales"
"metadata models","metadata modeling"
"metadata models","metadata model"
"bone mass density","bones mass density"
"rp","rps"
"control reconfiguration","controls reconfiguration"
"agent oriented programm","agent oriented programmer"
"agent oriented programm","agent oriented programme"
"agent oriented programm","agents oriented programm"
"motor neuron diseases","motor neurons disease"
"motor neuron diseases","motor neuron disease"
"aegis","aegi"
"relus","relu"
"problem solving environment","problems solving environment"
"intervention radiology","interventional radiology"
"ontology base data integration","ontology based data integration"
"metagenome","metagenomics"
"metagenome","metagenomic"
"external sorting","external sort"
"gymnastic","gymnastics"
"region","regionalization"
"region","regions"
"dynamics time warp","dynamic time warp"
"dynamics time warp","dynamic time warping"
"dynamics time warp","dynamic times warp"
"objects constraint language","object constraint languages"
"objects constraint language","object constraint language"
"objects constraint language","object constraint language"
"objects constraint language","object constraints language"
"control group","control groups"
"control group","controls group"
"benign paroxysmal positional vertigo","benign paroxysmal position vertigo"
"circadian rhythms","circadian rhythm"
"domain named","domain name"
"domain named","domains name"
"mast cell degranulation","mast cells degranulation"
"dcis","dci"
"phosphatidylcholines","phosphatidylcholine"
"adipokine","adipokines"
"general image","general imag"
"general image","general imaging"
"emergency response system","emergency response systems"
"emergency response system","emergency responses system"
"drug overdose","drugs overdose"
"cybernetic","cybernetics"
"grnns","grnn"
"glucans","glucan"
"infinite impulse response","infinite impulse responses"
"apolipoprotein","apolipoproteins"
"leukotrienes","leukotriene"
"geometric programming","geometric program"
"global positioning systems","global positioning system"
"clinical laboratory information systems","clinical laboratory informational system"
"clinical laboratory information systems","clinical laboratory information system"
"wfm","wfms"
"cqs","cq"
"flight simulator","flight simulators"
"x machine","x machines"
"inverse dynamic","inverse dynamics"
"data architecture","data architectures"
"general video games play","general video game play"
"general video games play","general video game playing"
"integrity","integral"
"integrity","integration"
"arcgi","arcgis"
"iteratively reweighted least squares","iteratively reweighted least square"
"iteratively reweighted least squares","iteratively reweighted least squared"
"iteratively reweighted least squares","iterative reweighted least square"
"vaccine adjuvant","vaccines adjuvant"
"approximate string matching","approximate string match"
"approximate string matching","approximately string match"
"sleep modes","sleep mode"
"human activitie","humans activitie"
"estrogen","estrogens"
"disease ontology","diseases ontology"
"tasks parallelism","task parallelism"
"current","currents"
"current","currently"
"polyurethane","polyurethanes"
"mycobacterium bovi","mycobacterium bovis"
"pelvis","pelvi"
"oliver oil","olive oil"
"government program","government programs"
"logic control","logic controls"
"functional data analysi","function data analysi"
"functional data analysi","functional data analysis"
"median graph","median graphs"
"imfs","imf"
"hps","hp"
"mea","meas"
"search engine results page","search engine result page"
"networks architecture","network architecture"
"networks architecture","network architectures"
"markov chain","markov chains"
"polynomials expansion","polynomial expansion"
"dopaminergic neuron","dopaminergic neurons"
"correlation dimension","correlation dimensions"
"personal","personality"
"personal","personalization"
"hall effect sensor","hall effects sensor"
"hall effect sensor","hall effect sensors"
"hrus","hru"
"pulmonary fibrosis","pulmonary fibrosi"
"avs","av"
"direction derivative","directional derivative"
"direction derivative","directional derivatives"
"specific language impairment","specific languages impairment"
"layers","layer"
"endopeptidase","endopeptidases"
"ram","rams"
"optimization mechanisms","optimization mechanism"
"saas","saa"
"prediction by partial matching","prediction by partial match"
"benzodiazepine","benzodiazepines"
"bayesian analysis","bayesian analysi"
"devices","device"
"heat sinks","heat sink"
"analog computer","analog computers"
"necrosis","necrosi"
"fish disease","fish diseases"
"neurogenetic","neurogenetics"
"neural networks software","neural network software"
"symbolic data analysis","symbolic data analysi"
"generative model","generative models"
"generative model","general model"
"generative model","generic model"
"3 d images","3 d image"
"subjective","subject"
"data structured","data structures"
"data structured","data structure"
"cell survival","cells survival"
"analysi","analysis"
"membrane potentially","membranes potential"
"membrane potentially","membrane potentials"
"membrane potentially","membrane potential"
"suitability analysi","suitability analysis"
"digital image process","digital images process"
"digital image process","digital image processing"
"incremental decision trees","increment decision tree"
"incremental decision trees","incremental decision tree"
"genetic engineering","genetic engineer"
"plant seeds","plants seed"
"plant seeds","plant seed"
"brucellosi","brucellosis"
"umbilical vein","umbilical veins"
"fundus","fundu"
"muscle relaxant","muscle relaxants"
"muscle relaxant","muscles relaxant"
"endocytosis","endocytosi"
"tumor necrosis factor receptors","tumor necrosis factors receptor"
"tumor necrosis factor receptors","tumors necrosis factor receptor"
"tumor necrosis factor receptors","tumor necrosis factor receptor"
"bone remodeling","bone remodel"
"bone remodeling","bones remodel"
"intervention","interventions"
"intervention","interventional"
"apps","app"
"informational theory","information theory"
"reasoning system","reasoning systems"
"sometimes","sometime"
"internetwork","internetworking"
"learning rule","learning rules"
"n methyl d aspartate receptors","n methyl d aspartate receptor"
"meridians","meridian"
"experimental systems","experimental system"
"consensus clusters","consensus cluster"
"consensus clusters","consensus clustering"
"eons","eon"
"events driven architecture","event driven architectures"
"events driven architecture","event driven architecture"
"latent variable","latent variables"
"design tools","design tool"
"event stream process","event stream processing"
"event stream process","event streams process"
"event stream process","events stream process"
"regularized least squared","regularized least square"
"regularized least squared","regularized least squares"
"optical imag","optical image"
"optical imag","optical imaging"
"neisseria meningitidi","neisseria meningitidis"
"microvessels","microvessel"
"opioid","opioids"
"rewards","reward"
"linear hash","linear hashing"
"nirs","nir"
"item responses theory","items response theory"
"item responses theory","item response theory"
"robotic spacecraft","robotics spacecraft"
"regions grow","region grow"
"regions grow","region growing"
"requirements","requirement"
"enterprise bookmarking","enterprise bookmark"
"cochlear implants","cochlear implant"
"muscle proteins","muscles protein"
"muscle proteins","muscle protein"
"interactions information","interaction information"
"interactions information","interaction informational"
"table","tables"
"evaluation of machine translations","evaluation of machine translational"
"evaluation of machine translations","evaluation of machine translation"
"general imag","general imaging"
"information design","informational design"
"hamming codes","hamming coded"
"hamming codes","hamming code"
"education management information systems","education management informational system"
"education management information systems","educational management information system"
"education management information systems","education management information system"
"rdbms","rdbm"
"liquids chromatography","liquid chromatography"
"string kernels","string kernel"
"gps signals","gps signal"
"biological processe","biological process"
"biological processe","biologically processe"
"biological processe","biological processes"
