"grnns","grnn"
"wfm","wfms"
"hrus","hru"
"neisseria meningitidi","neisseria meningitidis"
"mnn","mnns"
"vae","vaes"
"dexras","dexra"
"tdnn","tdnns"
"discriminantanalysi","discriminantanalysis"
"tumors necrosi","tumor necrosi"
"wwtp","wwtps"
"ls-svm","ls-svms"
"chroma subsampling","chroma subsampl"
"dnns","dnn"
"sars coronaviru","sars coronavirus"
"lbsn","lbsns"
"honns","honn"
"mytilu","mytilus"
"sdgs","sdg"
"eosdis","eosdi"
"mras","mra"
"wecs","wec"
"tinyos","tinyo"
"rct","rcts"
"rbfnn","rbfnns"
"serps","serp"
"amcis","amci"
"rtms","rtm"
"rfp","rfps"
"np-hardness","np-hard"
"updr","updrs"
"hdds","hdd"
"prometheus","prometheu"
"wlans","wlan"
"nfrs","nfr"
"tursiops truncatus","tursiops truncatu"
"kbm","kbms"
"tfbs","tfb"
"hrtf","hrtfs"
"oreochromis niloticu","oreochromis niloticus"
"paacs","paac"
"hcrfs","hcrf"
"bicmo","bicmos"
"chc","chcs"
"education activitie","educational activitie"
"mamp","mamps"
"wpans","wpan"
"ivhs","ivh"
"hrmas","hrma"
"uwsns","uwsn"
"hri","hris"
"japanese encephaliti","japanese encephalitis"
"slm","slms"
"lonworks","lonwork"
"osns","osn"
"scfgs","scfg"
"pmus","pmu"
"aeromonas","aeromona"
"character encode","character encod"
"fnir","fnirs"
"maops","maop"
"dcops","dcop"
"ordbm","ordbms"
"wsans","wsan"
"hmi","hmis"
"ivu","ivus"
"cemi","cemis"
"moga","mogas"
"dpls","dpl"
"drnn","drnns"
"rkhs","rkh"
"nsaid","nsaids"
"cgnn","cgnns"
"pcp","pcps"
"hetnets","hetnet"
"msers","mser"
"klm","klms"
"phaseolus vulgari","phaseolus vulgaris"
"ehr","ehrs"
"rantes","rante"
"caenorhabditis elegan","caenorhabditis elegans"
"efunns","efunn"
"dcnn","dcnns"
"wmn","wmns"
"caenorhabditi","caenorhabditis"
"mlpnn","mlpnns"
"abms","abm"
"delphinapterus leucas","delphinapterus leuca"
"wfst","wfsts"
"self-consciousness","self-conscious"
"ffnn","ffnns"
"tumor angiogenesi","tumors angiogenesi"
"bpnns","bpnn"
"pbmc","pbmcs"
"ingenias","ingenia"
"svrs","svr"
"multic","multics"
"hfrs","hfr"
"epc","epcs"
"kpi","kpis"
"ixode","ixodes"
"rogets thesaurus","rogets thesauru"
"lga","lgas"
"psms","psm"
"nhanes","nhane"
"adc","adcs"
"mapk","mapks"
"ctrnn","ctrnns"
"francisella tularensis","francisella tularensi"
"auv","auvs"
"nurb","nurbs"
"phaseolus","phaseolu"
"oodbms","oodbm"
"mlms","mlm"
"serde","serdes"
"ugv","ugvs"
"drgs","drg"
"atmi","atmis"
"rtl","rtls"
"lncrnas","lncrna"
"denfis","denfi"
"dhea","dheas"
"e-governance","e-government"
"eprs","epr"
"dfa","dfas"
"bfgs","bfg"
"pnns","pnn"
"aistats","aistat"
"bmdc","bmdcs"
"lrrs","lrr"
"srms","srm"
"cnv","cnvs"
"torcs","torc"
"neanderthal","neanderthals"
"oncorhynchus","oncorhynchu"
"ioi","iois"
"christos faloutso","christos faloutsos"
"dcns","dcn"
"rbm","rbms"
"african trypanosomiasi","african trypanosomiasis"
